,price,bids,asks
556,65578.91,8e-05,0.0
557,65578.94,0.001,0.0
558,65579.4,0.0001,0.0
559,65579.58,0.00045,0.0
560,65579.65,0.00033,0.0
561,65579.71,0.00081,0.0
562,65579.87,0.00019,0.0
563,65580.0,0.1199,0.0
564,65580.05,9e-05,0.0
565,65580.1,9e-05,0.0
566,65580.33,0.00045,0.0
567,65580.57,0.00016,0.0
568,65580.74,0.00011,0.0
569,65580.77,8e-05,0.0
570,65581.1,0.00301,0.0
571,65581.2,0.00082,0.0
572,65581.25,0.00012,0.0
573,65581.43,8e-05,0.0
574,65581.68,0.00049,0.0
575,65581.81,0.00014,0.0
576,65581.88,0.07566,0.0
577,65582.0,0.00014,0.0
578,65582.04,0.00018,0.0
579,65582.07,0.0001,0.0
580,65582.22,0.00036,0.0
581,65582.51,0.0001,0.0
582,65582.67,0.00045,0.0
583,65582.78,0.00206,0.0
584,65582.93,0.0016,0.0
585,65582.97,0.00024,0.0
586,65582.99,0.00034,0.0
587,65583.0,0.00059,0.0
588,65583.01,8e-05,0.0
589,65583.17,0.00217,0.0
590,65583.27,9e-05,0.0
591,65583.31,0.00032,0.0
592,65583.33,0.00045,0.0
593,65583.45,0.00025,0.0
594,65583.55,0.00338,0.0
595,65583.69,0.00015,0.0
596,65584.17,0.0002,0.0
597,65584.3,0.00026,0.0
598,65584.32,0.01827,0.0
599,65584.41,0.00047,0.0
600,65584.47,0.00013,0.0
601,65584.6,0.00013,0.0
602,65584.61,0.00074,0.0
603,65584.62,0.0076,0.0
604,65584.63,0.0001,0.0
605,65584.65,9e-05,0.0
606,65584.77,0.00017,0.0
607,65585.02,0.00046,0.0
608,65585.22,9e-05,0.0
609,65585.36,9e-05,0.0
610,65585.62,8e-05,0.0
611,65585.67,0.00011,0.0
612,65585.86,9e-05,0.0
613,65585.94,0.00014,0.0
614,65585.97,8e-05,0.0
615,65585.99,0.00011,0.0
616,65586.08,0.00038,0.0
617,65586.14,0.00012,0.0
618,65586.31,0.00012,0.0
619,65586.35,0.00047,0.0
620,65586.38,0.00152,0.0
621,65586.65,0.00011,0.0
622,65586.66,0.00394,0.0
623,65586.73,0.00015,0.0
624,65586.79,0.00087,0.0
625,65586.81,0.00011,0.0
626,65586.83,0.00031,0.0
627,65587.5,0.0002,0.0
628,65587.52,0.00112,0.0
629,65587.74,0.00042,0.0
630,65587.75,0.00018,0.0
631,65587.85,0.00073,0.0
632,65587.9,0.00027,0.0
633,65587.91,0.00078,0.0
634,65588.0,0.1982,0.0
635,65588.16,9e-05,0.0
636,65588.19,0.00032,0.0
637,65588.23,0.01078,0.0
638,65588.28,0.00035,0.0
639,65588.38,0.029,0.0
640,65588.46,8e-05,0.0
641,65588.47,0.00012,0.0
642,65588.55,8e-05,0.0
643,65588.66,9e-05,0.0
644,65588.69,0.00012,0.0
645,65588.88,8e-05,0.0
646,65588.99,0.00016,0.0
647,65589.0,0.01524,0.0
648,65589.09,0.01336,0.0
649,65589.22,0.00083,0.0
650,65589.37,0.00015,0.0
651,65589.63,0.00145,0.0
652,65589.67,0.00114,0.0
653,65589.71,0.00042,0.0
654,65589.74,0.00012,0.0
655,65589.76,0.0003,0.0
656,65590.0,0.00468,0.0
657,65590.07,0.00076,0.0
658,65590.16,0.13721,0.0
659,65590.33,0.00013,0.0
660,65590.56,9e-05,0.0
661,65590.71,8e-05,0.0
662,65590.9,0.00473,0.0
663,65590.99,0.04546,0.0
664,65591.04,0.00014,0.0
665,65591.11,0.00011,0.0
666,65591.22,0.00214,0.0
667,65591.43,0.00021,0.0
668,65591.68,0.00018,0.0
669,65591.75,0.00016,0.0
670,65591.83,0.00014,0.0
671,65591.9,0.05468,0.0
672,65591.92,0.00016,0.0
673,65592.01,0.00012,0.0
674,65592.12,0.00017,0.0
675,65592.25,0.00015,0.0
676,65592.46,0.00343,0.0
677,65592.67,0.0004,0.0
678,65592.75,0.00086,0.0
679,65592.83,0.00161,0.0
680,65592.86,0.00012,0.0
681,65592.95,0.00458,0.0
682,65593.0,0.00092,0.0
683,65593.05,0.00013,0.0
684,65593.22,9e-05,0.0
685,65593.38,9e-05,0.0
686,65593.44,0.00076,0.0
687,65593.45,9e-05,0.0
688,65593.53,0.00012,0.0
689,65593.88,0.00338,0.0
690,65594.0,9e-05,0.0
691,65594.03,0.00019,0.0
692,65594.2,8e-05,0.0
693,65594.22,0.00057,0.0
694,65594.35,8e-05,0.0
695,65594.47,0.00281,0.0
696,65594.48,8e-05,0.0
697,65594.49,0.00011,0.0
698,65594.66,9e-05,0.0
699,65594.76,0.00657,0.0
700,65595.0,0.2238,0.0
701,65595.27,0.0006,0.0
702,65595.35,0.00053,0.0
703,65595.51,0.00024,0.0
704,65595.67,8e-05,0.0
705,65595.74,0.00015,0.0
706,65595.79,9e-05,0.0
707,65595.9,0.00059,0.0
708,65595.95,0.0001,0.0
709,65596.05,9e-05,0.0
710,65596.5,0.00037,0.0
711,65596.55,0.0001,0.0
712,65596.59,0.00013,0.0
713,65596.7,0.00193,0.0
714,65596.74,0.00091,0.0
715,65596.83,0.00013,0.0
716,65596.89,0.00098,0.0
717,65596.95,0.00019,0.0
718,65597.07,0.00033,0.0
719,65597.12,8e-05,0.0
720,65597.22,0.00012,0.0
721,65597.25,0.40548,0.0
722,65597.37,0.00283,0.0
723,65597.66,0.0007,0.0
724,65598.19,9e-05,0.0
725,65598.28,0.00043,0.0
726,65598.6,9e-05,0.0
727,65598.66,0.0002,0.0
728,65598.7,0.00033,0.0
729,65598.77,0.00013,0.0
730,65598.81,0.00012,0.0
731,65598.91,0.00053,0.0
732,65599.02,8e-05,0.0
