,Timestamp,best_bid_price,best_bid_vol,best_ask_price,best_ask_vol,mid_price,e
10288,10288000,65900,30.74497,65900.01,5.32919,65900.005,-0.41831
10289,10289000,65900,32.6183,65900.01,5.30716,65900.005,1.89536
10290,10290000,65900,32.48646,65900.01,5.17178,65900.005,0.00354
10291,10291000,65900,31.75646,65900.01,5.31491,65900.005,-0.87313
10292,10292000,65900,31.75646,65900.01,5.27219,65900.005,0.04272
10293,10293000,65900,31.7534,65900.01,5.32126,65900.005,-0.05213
10294,10294000,65900,31.70443,65900.01,5.3162,65900.005,-0.04391
10295,10295000,65900,30.67551,65900.01,6.35776,65900.005,-2.07048
10296,10296000,65900,29.88173,65900.01,6.69508,65900.005,-1.1311
10297,10297000,65900,30.57693,65900.01,5.76707,65900.005,1.62321
10298,10298000,65900,30.64112,65900.01,4.55921,65900.005,1.27205
10299,10299000,65900,33.36638,65900.01,2.28721,65900.005,4.99726
10300,10300000,65900,34.20564,65900.01,1.49788,65900.005,1.62859
10301,10301000,65900,34.13144,65900.01,1.6943,65900.005,-0.27062
10302,10302000,65900,34.13144,65900.01,1.39392,65900.005,0.30038
10303,10303000,65900,36.15592,65900.01,0.61346,65900.005,2.80494
10304,10304000,65900,36.55242,65900.01,0.30126,65900.005,0.7087
10305,10305000,65900,36.53904,65900.01,0.28391,65900.005,0.00397
10306,10306000,65906.2,9.41593,65906.21,2.91128,65906.205,9.69984
10307,10307000,65906.2,9.74962,65906.21,1.55872,65906.205,1.68625
10308,10308000,65906.2,6.99247,65906.21,3.48442,65906.205,-4.68285
10309,10309000,65906.2,7.17253,65906.21,2.76361,65906.205,0.90087
10310,10310000,65906.2,6.83934,65906.21,4.18387,65906.205,-1.75345
10311,10311000,65906.2,7.14266,65906.21,4.34811,65906.205,0.13908
10312,10312000,65906.2,8.02568,65906.21,3.69262,65906.205,1.53851
10313,10313000,65906.2,8.74971,65906.21,2.25368,65906.205,2.16297
10314,10314000,65906.2,8.7473,65906.21,1.94077,65906.205,0.3105
10315,10315000,65906.2,10.76095,65906.21,1.10644,65906.205,2.84798
10316,10316000,65906.2,10.74275,65906.21,1.10717,65906.205,-0.01893
10317,10317000,65909.98,0.12991,65910,0.90782,65909.99,1.23708
10318,10318000,65909.99,15.15175,65910,3.34647,65909.995,12.7131
10319,10319000,65909.99,14.7692,65910,2.93341,65909.995,0.03051
10320,10320000,65909.99,14.77531,65910,3.0332,65909.995,-0.09368
10321,10321000,65909.99,14.77319,65910,2.89566,65909.995,0.13542
10322,10322000,65909.99,14.77319,65910,2.89493,65909.995,0.00073
10323,10323000,65909.99,14.76618,65910,2.44445,65909.995,0.44347
10324,10324000,65909.99,16.33409,65910,1.61488,65909.995,2.39748
10325,10325000,65909.99,16.63989,65910,0.11214,65909.995,1.80854
10326,10326000,65929.99,10.05125,65930,0.80739,65929.995,10.16339
10327,10327000,65937.99,6.28516,65938,4.23184,65937.995,7.09255
10328,10328000,65937.99,5.92612,65938,4.56256,65937.995,-0.68976
10329,10329000,65937.99,6.41576,65938,4.50903,65937.995,0.54317
10330,10330000,65937.99,7.1443,65938,4.43002,65937.995,0.80755
10331,10331000,65937.99,5.69902,65938,4.25476,65937.995,-1.27002
10332,10332000,65939.91,0.39726,65940,0.61416,65939.955,4.65202
10333,10333000,65945.15,13.30566,65945.16,0.44489,65945.155,13.91982
10334,10334000,65945.15,13.05781,65945.16,0.46722,65945.155,-0.27018
10335,10335000,65945.15,11.92379,65945.16,2.05582,65945.155,-2.72262
10336,10336000,65945.15,2.94956,65945.16,5.98153,65945.155,-12.89994
10337,10337000,65945.15,6.06525,65945.16,4.10178,65945.155,4.99544
10338,10338000,65945.15,4.68394,65945.16,6.37916,65945.155,-3.65869
10339,10339000,65945.15,2.66261,65945.16,6.61781,65945.155,-2.25998
10340,10340000,65945.15,4.72284,65945.16,4.69148,65945.155,3.98656
10341,10341000,65945.15,3.54637,65945.16,5.98439,65945.155,-2.46938
10342,10342000,65945.15,3.28995,65945.16,6.3635,65945.155,-0.63553
10343,10343000,65945.15,2.63099,65945.16,6.01702,65945.155,-0.31248
10344,10344000,65945.15,5.24831,65945.16,4.43826,65945.155,4.19608
10345,10345000,65945.15,6.23984,65945.16,3.85332,65945.155,1.57647
10346,10346000,65945.15,7.45874,65945.16,3.6162,65945.155,1.45602
10347,10347000,65945.15,12.40548,65945.16,0.70368,65945.155,7.85926
10348,10348000,65945.15,12.8065,65945.16,0.60054,65945.155,0.50416
10349,10349000,65959.99,8.91475,65960,0.6443,65959.995,9.51529
10350,10350000,65968.73,0.12994,65968.75,0.01656,65968.74,0.77424
10351,10351000,65976.75,0.0002,65976.77,1.62261,65976.76,0.01676
10352,10352000,65976.76,10.77927,65976.77,1.69386,65976.765,10.70802
10353,10353000,65976.76,13.28529,65976.77,0.16903,65976.765,4.03085
10354,10354000,65992.4,0.0607,65992.74,2.93601,65992.57,0.22973
10355,10355000,65992.73,0.95684,65992.74,5.73368,65992.735,-1.84083
10356,10356000,65992.73,4.13048,65992.74,4.38941,65992.735,4.51791
10357,10357000,65992.73,6.26113,65992.74,3.69992,65992.735,2.82014
10358,10358000,65992.73,11.46988,65992.74,0.22368,65992.735,8.68499
10359,10359000,65998.81,0.053,66000,9.581,65999.405,0.27668
10360,10360000,65999.99,3.47764,66000,8.83546,65999.995,4.22318
10361,10361000,65999.99,6.27404,66000,7.84344,65999.995,3.78842
10362,10362000,65999.99,8.18616,66000,7.0762,65999.995,2.67936
10363,10363000,65999.99,7.82328,66000,7.87388,65999.995,-1.16056
10364,10364000,65999.99,9.267,66000,8.37081,65999.995,0.94679
10365,10365000,65999.99,8.35381,66000,7.99795,65999.995,-0.54033
10366,10366000,65999.99,0.47881,66000,11.98734,65999.995,-11.86439
10367,10367000,65999.99,0.24501,66000,12.2909,65999.995,-0.53736
10368,10368000,65994.53,0.048,65994.54,10.75605,65994.535,-11.00106
10369,10369000,65994,0.17667,65994.01,8.6788,65994.005,-8.7268
10370,10370000,65994,3.86761,65994.01,6.02588,65994.005,6.34386
10371,10371000,65994,3.12783,65994.01,4.48189,65994.005,0.80421
10372,10372000,65994,3.10885,65994.01,5.3269,65994.005,-0.86399
10373,10373000,65994,3.60336,65994.01,4.63506,65994.005,1.18635
10374,10374000,65994,4.65344,65994.01,3.54276,65994.005,2.14238
10375,10375000,65994,0.58094,65994.01,7.05425,65994.005,-7.58399
10376,10376000,65994,0.17604,65994.01,7.74946,65994.005,-1.10011
10377,10377000,65994,1.03976,65994.01,7.28033,65994.005,1.33285
10378,10378000,65994,0.50852,65994.01,7.23969,65994.005,-0.4906
10379,10379000,65982,0.1763,65982.01,8.45197,65982.005,-8.96049
10380,10380000,65976.76,0.0241,65976.77,8.28093,65976.765,-8.45723
10381,10381000,65968,0.07622,65968.01,6.40341,65968.005,-6.42751
10382,10382000,65968,0.0362,65968.01,8.56828,65968.005,-2.20489
10383,10383000,65968,2.00367,65968.01,4.48705,65968.005,6.0487
10384,10384000,65968,1.06964,65968.01,6.10416,65968.005,-2.55114
10385,10385000,65968,0.13413,65968.01,7.88112,65968.005,-2.71247
10386,10386000,65968,0.70498,65968.01,7.16765,65968.005,1.28432
10387,10387000,65968,0.28489,65968.01,7.32477,65968.005,-0.57721
10388,10388000,65968,4.4541,65968.01,4.01749,65968.005,7.47649
10389,10389000,65968,6.1584,65968.01,3.52392,65968.005,2.19787
10390,10390000,65968,6.09352,65968.01,3.52287,65968.005,-0.06383
10391,10391000,65968,5.85021,65968.01,3.52606,65968.005,-0.2465
10392,10392000,65968,6.44989,65968.01,2.86286,65968.005,1.26288
10393,10393000,65968,7.52959,65968.01,1.56146,65968.005,2.3811
10394,10394000,65968,6.9504,65968.01,3.29954,65968.005,-2.31727
